"Country or Area","Year","Item","Value"
"Afghanistan","2014","Gross National Income (GNI)","21328192192.0608"
"Afghanistan","2009","Gross National Income (GNI)","12536747359.9205"
"Afghanistan","2004","Gross National Income (GNI)","5595528252.26087"
"Albania","2014","Gross National Income (GNI)","13349516606.8194"
"Albania","2009","Gross National Income (GNI)","11852734801.7305"
"Albania","2004","Gross National Income (GNI)","7346138953.11155"
"Algeria","2014","Gross National Income (GNI)","209328646560.384"
"Algeria","2009","Gross National Income (GNI)","136056864144.52"
"Algeria","2004","Gross National Income (GNI)","81817979570.3619"
"Andorra","2014","Gross National Income (GNI)","3350599726.10202"
"Andorra","2009","Gross National Income (GNI)","3660310210.80019"
"Andorra","2004","Gross National Income (GNI)","2935786879.24109"
"Angola","2014","Gross National Income (GNI)","136508281879.43"
"Angola","2009","Gross National Income (GNI)","62598020232.9521"
"Angola","2004","Gross National Income (GNI)","21065758576.0227"
"Anguilla","2014","Gross National Income (GNI)","311741715.185185"
"Anguilla","2009","Gross National Income (GNI)","276030878.518519"
"Anguilla","2004","Gross National Income (GNI)","201948148.148148"
"Antigua and Barbuda","2014","Gross National Income (GNI)","1238214814.81481"
"Antigua and Barbuda","2009","Gross National Income (GNI)","1166900000"
"Antigua and Barbuda","2004","Gross National Income (GNI)","868625041.851852"
"Argentina","2014","Gross National Income (GNI)","555427902272.897"
"Argentina","2009","Gross National Income (GNI)","326023278306.625"
"Argentina","2004","Gross National Income (GNI)","155849319679.634"
"Armenia","2014","Gross National Income (GNI)","12150656764.0374"
"Armenia","2009","Gross National Income (GNI)","9366996526.53997"
"Armenia","2004","Gross National Income (GNI)","3915199193.62265"
"Aruba","2014","Gross National Income (GNI)","2657928637.98883"
"Aruba","2009","Gross National Income (GNI)","2522266106.14525"
"Aruba","2004","Gross National Income (GNI)","2257158515.64246"
"Australia","2014","Gross National Income (GNI)","1434320939139.45"
"Australia","2009","Gross National Income (GNI)","975411725764.132"
"Australia","2004","Gross National Income (GNI)","653135772870.431"
"Austria","2014","Gross National Income (GNI)","442578740324.175"
"Austria","2009","Gross National Income (GNI)","399974794635.528"
"Austria","2004","Gross National Income (GNI)","300502629242.642"
"Azerbaijan","2014","Gross National Income (GNI)","73082912867.0647"
"Azerbaijan","2009","Gross National Income (GNI)","41022871005.8681"
"Azerbaijan","2004","Gross National Income (GNI)","8166822784.88097"
"Bahamas","2014","Gross National Income (GNI)","10535230000"
"Bahamas","2009","Gross National Income (GNI)","10054613597"
"Bahamas","2004","Gross National Income (GNI)","9185729003"
"Bahrain","2014","Gross National Income (GNI)","31755053191.4894"
"Bahrain","2009","Gross National Income (GNI)","20538486295.2128"
"Bahrain","2004","Gross National Income (GNI)","12575166877.6596"
"Bangladesh","2014","Gross National Income (GNI)","184595286299.654"
"Bangladesh","2009","Gross National Income (GNI)","110223535273.748"
"Bangladesh","2004","Gross National Income (GNI)","58899402214.0108"
"Barbados","2014","Gross National Income (GNI)","4495124132.5"
"Barbados","2009","Gross National Income (GNI)","4276206639.5"
"Barbados","2004","Gross National Income (GNI)","3394073205.5"
"Belarus","2014","Gross National Income (GNI)","76448702856.8033"
"Belarus","2009","Gross National Income (GNI)","49759492997.8559"
"Belarus","2004","Gross National Income (GNI)","23923258162.5107"
"Belgium","2014","Gross National Income (GNI)","545897069014.275"
"Belgium","2009","Gross National Income (GNI)","490267632815.431"
"Belgium","2004","Gross National Income (GNI)","373670571728.347"
"Belize","2014","Gross National Income (GNI)","1527457635.5"
"Belize","2009","Gross National Income (GNI)","1227882167.5"
"Belize","2004","Gross National Income (GNI)","933584911"
"Benin","2014","Gross National Income (GNI)","9514942935.12218"
"Benin","2009","Gross National Income (GNI)","7020485484.02429"
"Benin","2004","Gross National Income (GNI)","4484331858.99404"
"Bermuda","2014","Gross National Income (GNI)","5769232860"
"Bermuda","2009","Gross National Income (GNI)","5726843000"
"Bermuda","2004","Gross National Income (GNI)","4754502000"
"Bhutan","2014","Gross National Income (GNI)","1823828371.95145"
"Bhutan","2009","Gross National Income (GNI)","1214176152.74646"
"Bhutan","2004","Gross National Income (GNI)","686767676.194231"
"Bolivia (Plurinational State of)","2014","Gross National Income (GNI)","31276949782.9233"
"Bolivia (Plurinational State of)","2009","Gross National Income (GNI)","16661417378.9174"
